Mass,Intensity
57.886,0.002
92.858,0.003
103.108,0.053
106.100,0.003
115.289,0.020
122.380,0.004
135.568,0.159
137.588,0.070
145.686,0.022
151.749,0.071
152.742,0.014
162.844,0.009
163.875,0.018
168.885,0.004
171.914,0.528
175.015,0.034
175.912,0.020
190.050,0.509
192.075,0.043
207.163,0.009
208.156,0.007
212.143,0.014
214.366,0.006
219.165,0.012
224.225,0.005
228.171,0.680
228.605,0.012
230.180,0.043
242.484,0.012
243.488,0.005
250.199,0.006
258.502,0.052
266.188,0.239
268.191,0.027
286.542,0.012
288.517,0.014
291.338,0.007
294.301,0.007
298.567,0.033
304.511,1.000
305.014,0.060
305.514,0.191
306.002,0.012
322.364,0.006
325.302,0.013
325.396,0.008
326.544,0.271
332.483,0.190
335.250,0.074
340.490,0.008
379.092,0.662
379.649,0.017
410.868,0.006
416.870,0.017
440.715,0.025
442.707,0.011
452.789,0.007
454.609,0.007
492.338,0.018
524.310,0.005
566.974,0.006
