Mass,Intensity
89.783,0.005
92.857,0.005
103.109,0.040
111.198,0.005
115.284,0.029
135.568,0.324
135.901,0.005
137.586,0.159
138.603,0.011
145.686,0.044
146.688,0.010
147.721,0.005
151.747,0.125
162.837,0.010
163.875,0.041
168.884,0.005
171.914,0.883
172.292,0.026
173.947,0.011
175.013,0.031
175.915,0.029
184.040,0.007
190.050,0.872
191.066,0.144
192.078,0.105
207.164,0.007
212.138,0.008
214.366,0.011
219.159,0.009
228.170,0.552
228.603,0.010
230.172,0.031
242.477,0.018
243.490,0.010
258.496,0.038
266.186,0.168
268.185,0.020
278.314,0.008
286.530,0.012
288.426,0.008
288.510,0.016
291.339,0.006
294.300,0.012
298.559,0.032
303.262,0.007
304.507,0.914
305.008,0.041
305.513,0.109
305.995,0.008
322.368,0.012
326.542,0.289
332.478,0.170
335.250,0.125
340.475,0.006
361.143,0.008
361.267,0.007
362.139,0.007
379.092,1.000
379.650,0.036
399.052,0.006
416.867,0.017
440.707,0.041
442.700,0.017
485.534,0.009
492.332,0.010
524.298,0.008
566.959,0.009
717.461,0.004
