Mass,Intensity
92.864,0.030
103.110,0.121
111.198,0.020
115.285,0.010
122.381,0.008
129.522,0.007
131.567,0.006
135.570,1.000
135.907,0.019
137.589,0.593
145.687,0.049
146.691,0.010
151.750,0.451
162.836,0.010
163.877,0.033
165.902,0.013
171.915,0.949
172.294,0.026
172.929,0.096
175.019,0.155
175.917,0.087
184.046,0.028
190.050,0.886
190.448,0.021
191.066,0.112
192.075,0.096
207.161,0.008
212.137,0.010
212.353,0.009
214.372,0.029
228.170,0.868
228.604,0.013
230.175,0.049
242.483,0.029
244.292,0.009
250.302,0.018
258.499,0.144
266.187,0.127
268.191,0.016
275.341,0.008
278.310,0.009
286.377,0.015
286.532,0.022
288.513,0.080
291.350,0.017
294.296,0.010
295.314,0.010
296.385,0.010
298.558,0.054
304.509,0.940
305.015,0.036
305.522,0.122
316.427,0.009
316.511,0.018
318.464,0.008
320.475,0.009
322.362,0.028
325.306,0.016
325.397,0.051
326.547,0.387
327.066,0.015
331.372,0.010
332.483,0.131
335.250,0.074
361.264,0.013
363.160,0.009
379.092,0.834
379.650,0.016
388.986,0.015
399.056,0.043
416.869,0.024
440.715,0.203
442.708,0.088
454.617,0.008
478.446,0.009
492.329,0.007
523.308,0.006
566.972,0.011
