Mass,Intensity
92.860,0.009
103.106,0.074
115.284,0.019
135.568,0.506
137.585,0.260
138.603,0.021
145.687,0.037
146.688,0.010
151.748,0.174
163.876,0.073
165.905,0.007
168.883,0.006
171.913,0.804
175.017,0.051
175.912,0.048
184.044,0.013
189.034,0.081
190.050,1.000
190.443,0.022
191.065,0.105
208.157,0.007
212.137,0.014
228.170,0.571
228.607,0.006
230.180,0.035
242.482,0.058
250.298,0.008
258.503,0.038
266.189,0.140
268.191,0.017
288.421,0.007
288.520,0.010
291.344,0.009
294.294,0.014
295.310,0.010
296.388,0.009
298.562,0.021
303.264,0.007
304.510,0.880
305.014,0.039
305.518,0.107
306.012,0.007
318.459,0.007
320.474,0.007
322.367,0.013
325.309,0.016
325.402,0.007
326.548,0.144
332.485,0.144
335.248,0.069
337.259,0.010
362.139,0.010
379.092,0.805
379.650,0.018
399.057,0.007
400.030,0.007
416.876,0.016
440.721,0.045
442.710,0.017
452.796,0.006
454.629,0.007
485.537,0.008
492.333,0.010
524.304,0.006
566.966,0.005
